platformId,gameId,champion,queue,season,timestamp,role,lane
KR,3773450135,블라디미르,420,13,1564100000000.0,DUO_SUPPORT,BOTTOM
KR,3773321935,블리츠크랭크,420,13,1564100000000.0,DUO_SUPPORT,NONE
KR,3771655085,말파이트,420,13,1564000000000.0,DUO,BOTTOM
KR,3769783121,말파이트,420,13,1563900000000.0,DUO_SUPPORT,BOTTOM
KR,3766917233,베인,450,13,1563800000000.0,DUO_SUPPORT,NONE
KR,3764967952,직스,450,13,1563700000000.0,DUO,MID
KR,3764961565,잭스,450,13,1563700000000.0,DUO_SUPPORT,NONE
KR,3764827880,리신,450,13,1563700000000.0,SOLO,BOTTOM
KR,3762923970,피즈,450,13,1563600000000.0,DUO_SUPPORT,MID
KR,3762626393,피즈,450,13,1563600000000.0,SOLO,TOP
KR,3761901030,블라디미르,450,13,1563600000000.0,DUO_SUPPORT,NONE
KR,3760406867,레넥톤,450,13,1563500000000.0,DUO_SUPPORT,NONE
KR,3760168787,말파이트,450,13,1563500000000.0,DUO_SUPPORT,NONE
KR,3760084758,레넥톤,450,13,1563500000000.0,DUO_SUPPORT,BOTTOM
KR,3760043470,르블랑,420,13,1563500000000.0,DUO,NONE
KR,3756678082,르블랑,420,13,1563400000000.0,SOLO,MID
