tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,JVTI_eBcmKnddMH6fBx9-Zc2kYj3DZbE4pP66ZBfHX27EQ,구마유시,1184,654,616,True,False,False,False
CHALLENGER,F9r2yK5wtBP35-k1ptwOyJuEpLxnynqMx0QXeCM6R6JnLjI,top1v1,1180,1257,1206,True,False,False,False
CHALLENGER,qRc97_h-3RWbo8VRv1y2gYwSuPOVmni4iDUpt1pX2VgMfGQ,krats aira,1180,532,437,True,False,False,False
CHALLENGER,7JZtz6Bs1Li7NNW9Iy78xp8zZWwltfCB4aw9oeE0Sca_K5w,need time xxx,1174,506,345,True,False,False,False
CHALLENGER,v_2sff003deZ4yXg52hqHfiSKlvDij0-nddrNqWnek0d0jM,DRX Deft,1173,1189,989,True,False,False,False
CHALLENGER,kbktPaqQXS7EIp_H9wFvEWdpXR32IrHUUVSHCp4eOKVzVj0,백수넛,1173,957,856,True,False,False,False
CHALLENGER,Mv8cC6EBMLJjXjpd9BYReL80pJfNdKs2uu0kPrscSjNqzEw,HLE Vsta,1172,538,473,True,False,False,False
CHALLENGER,y9uRnJykLSN3AMh43z6iTEsxkyxPLmVdS-ToMUBgv37NfCQ,C9 VULCAN,1152,192,122,True,False,False,False
CHALLENGER,TPTsVvk_v5G66u3r3NHA0I23Jy4XU9Y_zYtQgmDl9KA8LWo,lagluckygame,1130,851,753,True,False,False,False
CHALLENGER,vUmjgCjGXYjcX4gVqSpKmWU-c8HFvRonkXibo8zWp6CAI6E,Iove camille,1127,1040,912,True,False,False,False
CHALLENGER,oFGSgTQbyTNvQ8L49qYu06iH62KG3s-_6jC2tzQ3cb9pGg,SANDBOX Gorill4,1122,414,358,True,False,False,False
CHALLENGER,sx8puX6x4BVPWEB2GpxrRagYXgOOoIvl-l-4BVeo3MsicTI,Kingango,1121,511,363,True,False,False,False
CHALLENGER,3AcqtvVaubKKgyTwZeDXzXMjjnHdIG10gtU8YDyR2l30kX4,깨기 싫은 꿈,1119,476,404,True,False,False,True
CHALLENGER,R7Nxqgih1A2Y6rDIjwAbedK8MMYXiyTHvWzGTPqA6bJ2FJY,Thal Youtube구독,1118,899,860,True,False,False,False
CHALLENGER,3P6Uw-ux_mPvALmJ2iCub0m522GcDleXVaBP1V2Vu1IhhA,sadasdsadqd,1115,642,586,False,False,False,False
CHALLENGER,ldLlnmJCcMjMcRdyldDcN2K8Mx08FxWuwytsW-WE2Rur2Kw,mi lao shu OwO,1111,701,640,True,False,False,True
CHALLENGER,ZKrNcTK2CpHCoFRfgYeDY5RosVexj2zP1_H-WEa2pGRT798,madkoed,1109,347,293,False,False,False,False
CHALLENGER,riXWEHzwxUtNsBDiXF5KSvliFeA3UgRLucrz_XjE4RMhJwA,hsdfzxczx,1107,832,764,True,False,False,False
CHALLENGER,Zdp_rxE0X_xlAmNgWuz4JSfcF0MlDJisbJLam_vmjgu2pOI,hun  tian  di,1106,1339,1300,False,False,True,False
CHALLENGER,Lk1o7KOc4rE0N3vzfPakC9tfeYqHH-BfXzCSXCLqMMLiNcI,River9,1105,445,325,True,False,False,False
CHALLENGER,PFEPMXBZJ3RxS54ci8CgWKiUGCjNzH_VG53wgSKDmlNiz1Y,진성park,1104,345,315,False,False,False,False
CHALLENGER,51GHIi1VxbHuiAJfqkdKD3mWoiUGxemy8tgK_v8oGN0x3jo,ganknam,1104,1153,1037,True,False,False,True
CHALLENGER,qr-KJ7xuOpVI1yXMMmuLUzZKVWrndi5AzYO9MgcL9VglyF4,나도 준일하다,1103,214,151,True,False,False,False
CHALLENGER,kqwOjN7V64GCyPRd1UsaDt3wVDt6ZgkpjFJorbP8-4BbkZM,shubiao nanshou,1102,759,726,True,False,False,False
CHALLENGER,MMA60ixQBLADbW2r47R5MDkE8M2hG4NKmkLrxPRVdoSebWM,HLE Mulkeong,1092,660,616,True,False,False,False
CHALLENGER,uXnbX2_4Sro0d71O8Ime5bnO9HVyH6aa9yNioPOUD3TbIQo,아정글맘에안드네,1089,207,147,False,False,False,False
