tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,xgmQyunCVtqX9tGnlXC2IYTUKWAO2TXSi32v2rQuu4jSMso,XqwOWO,608,273,232,True,False,False,False
GRANDMASTER,lwrBcMaQ-ZQSs3OU6kkUnDmy2VCSsjun8t0Iug6wyWPjtSc,JGKINGTUT,607,442,360,True,False,False,False
GRANDMASTER,MxobDcX_8-7dzzD0W_LNBHCHpj64eXZCFmqV0oVSeYj0Zg8,hanhan맞아요,606,1277,1230,True,False,False,False
GRANDMASTER,rewNt-IDZZm-RF1UbWDzoDGEnSToa27kZLMJ11VcYJPcTMU,wewewe0,606,212,118,True,False,False,False
GRANDMASTER,51ttZhRlaOSsYHAM330gCUHHLDuH4n5Py01bJ8N-IRjSjzY,rltjs,605,573,556,False,False,False,False
GRANDMASTER,hk5E_ptLy7a1IPvrw8uOtV7NuCADMYSnYcbQzCuBGJok1nQ,T1 allmight,605,1393,1374,True,False,False,False
GRANDMASTER,1GNWHcvgicIB1TPzqpsKXWyc8qovRKAOeR_rzDLqTJj69zY,고딩 팀 구합니다,604,552,494,False,False,False,False
GRANDMASTER,c2nn-8fexj6jdbwzcZr8UZxP1FEevZRn93tHMKSr8diuU0U,Summer cat,604,616,511,True,False,False,False
GRANDMASTER,gPgZ4ZbGaECR5LDQ9VPPQPKbTArQZ4Ivrv3N6qX2K4s95Lc,주사위666,604,747,741,True,False,False,False
GRANDMASTER,cU49PamGEv06xWG3N4J9Rtha6f9IBgX0ig8pz-FFcYLOmE8,왕볼베,604,740,716,False,False,False,False
GRANDMASTER,9Y_wxtMiu_vDZQgAcZIVTMGpQ4EqyI-6b6YIQ8r_NbuhMvc,박도칠,604,286,201,False,False,False,False
GRANDMASTER,dEnC4y7QHkIhgPy9GSyIPpW-zfxiiMBU1h81K0dwFhj8FLY,ADC02,603,491,396,True,False,False,False
GRANDMASTER,hlvOHbMPjbm1FfHi2s3g-lSRQV7Tubg2CEgpQ-VQKZAzVOE,꿈의 남자,603,573,544,False,False,False,False
GRANDMASTER,sHHFnCQRSBFl0I8l3rn0MHi6WMwWryBldZiaEGbFi7Nm_EM,wlswotmd11,602,370,338,True,False,False,False
GRANDMASTER,yjb6WY7C-u1DC6vEa0c2EoW1dw1OAeHcwWgc4Hm5O4-s0CU,Skt t1 faker7,602,376,272,False,False,True,False
GRANDMASTER,Vv5K8F6bM6MRPx3F-4574fQb0JdEcCksg-FKoSPBli5gcJU,악마검,602,418,381,True,False,False,False
GRANDMASTER,ZH1hRRPgwtioahUcI6InQKpN2YsRoO1e6OpZCay-qs1bJVA,미드 스눈이,600,337,290,True,False,False,False
GRANDMASTER,9qP55YShOB6XHLf6wQ_q9kG9k5A8z_fL7htsAOIwSlBX24Y,끝나지 않은 전투,600,1026,994,True,False,False,False
GRANDMASTER,4AHIlv5WIxyFU1UPViGAyAo8HmBe3-IwZDXsyEMUVMDuXeM,강현준,600,476,419,True,False,False,False
GRANDMASTER,dQvZHxl7oKUxEepc2xoJPKzSZe59QMBbfuze3yAkW1IxWw,Lactea1,600,708,670,True,False,False,False
GRANDMASTER,_43292drFuAaoyWezNEiVJOz8QGms7kUZsOSidUkU5jhQA,영원한 설리,598,615,596,True,False,False,False
GRANDMASTER,IYWd1gquWpNh2Wn5Fy40SfdJT3DHDT7KY_vtRzUpFjwIKA,하프실,598,522,480,False,False,False,False
GRANDMASTER,6IkUk0NiXgQU6kGpD4AkGNkZz5dhcVeNfJV7JipHM3OB6Oo,산기대 피바라기,598,1028,1028,False,False,False,False
GRANDMASTER,ULk8MYe_r5Q01dOLgRqa9GaCQHvQ2WEll--Gg2qPFpLSbus,Flawless fan,596,251,142,False,False,False,False
GRANDMASTER,jwQ-uIN9QeOechT-KDMiqkOm92afKJ9xHuvdmTR7NCLUCNU,정화 유체화1,596,638,590,False,False,True,False
GRANDMASTER,c8vzU-IUYdi0A7asN4CspbmVjsFyQ0yf5mkcfIRPaTa-xv8,Row1et,595,569,516,False,False,True,False
GRANDMASTER,WpW5sIyX4vtPmZxBQeeqaE2tZ979d8fgw2B50zbDD1JDOsY,Clearlove9 fans,594,401,315,False,False,False,True
GRANDMASTER,sRYlZrLjNGkXWtBSqRl6_79K2f9LflzIlSZ8wVE7H9j-ipA,HAPPINESS 2020,594,229,186,True,False,False,False
GRANDMASTER,5PRiuiXm0BSgzauLEMmDBwpvaC51-1_wdt0GrRZPRjGS83E,zzworld6,594,1458,1436,True,False,False,False
GRANDMASTER,QqeRHNCbuPX2WSCJWQZNHhvP1-JJfrSaGArDH26Rd36YUs4,Runaway Crush,593,967,950,True,False,False,False
GRANDMASTER,_C3Qm4ccg6BUl-25fxgiYHInXZCkCiAdYObvB3AtD4q-IYs,물컹 안티팬,593,1512,1457,True,False,False,False
GRANDMASTER,F0G1pZOjB6OvLzBnxqTLXF0OcsKZ71y7JzpDTCoJYrRAsp8,죄송합니다2,592,90,52,False,False,False,False
GRANDMASTER,6R09SquTh47iKXyAtPaI1wCEtvpUrtJpljM0ilshUakw4P4,스푸닝 최선영,591,474,469,True,False,False,False
GRANDMASTER,neHd5Mojn2rimD48uXJzlemmuALZVAYKjSMuHuJ7bVFh8wI,dopopo,590,367,268,True,False,False,False
GRANDMASTER,T233IefsRWEeUyhJ-cLkPCOORLb_iWLoi5CrLcYAAKIaTEI,dsdsadsadwgfa,589,219,233,True,False,False,False
GRANDMASTER,IskH-iYLjxIvc2nxqagk7InEMyTsVJK2F1xBP_SwwcRtZkE,집중하면챌린저감,589,362,294,True,False,False,False
GRANDMASTER,G-7nhVT1C8mwnW7-LaqUHYyfWYs_9NHS-Uj-DkP68RJx5Og,DRX Pleata,589,1221,1155,False,False,False,False
GRANDMASTER,37bL9Q3qYRihlx_2_yhjpu5UYiMHsgIGBuwDHop9gziAcmE,외롭다인생,589,808,774,True,False,False,False
